,BodyLength,BodyWeight
947,22.8,80.8
967,20.4,68.1
1,21,64.5
10,21.7,70.5
100,21,67.9
101,18.9,57
102,19.2,56.9
104,20.9,65.8
105,19.1,49.8
106,19.6,58.6
107,21.9,78
108,21.6,69.3
109,20.8,60.3
11,20.2,54.7
110,19.8,49.8
111,19.3,48.8
112,19.4,45.4
113,19.9,64.2
114,16.4,30
115,21.1,60.3
116,21.2,64.9
117,19.6,50.3
118,22.5,69
119,20.9,66.2
12,24.2,94.5
121,18.9,51.3
122,20.4,56.2
123,22.5,70.4
124,22.5,84.1
125,20.9,54.2
126,21,74.1
127,21.7,73.9
128,22,80
129,25.7,110.1
13,21.5,91.6
130,20.5,59.9
131,19.5,52.7
132,22.4,94.7
133,20.4,55.1
134,20.5,66.5
135,22,78.4
136,29,59.7
137,20.8,59.8
138,19.5,49.2
139,20.8,64.5
14,20.5,66
140,19.1,56.6
141,19.7,47.7
142,20.6,62
143,20.9,71.1
144,19.8,53
145,19.8,55.4
146,18.6,44.8
147,19.5,45.3
148,20.5,59.8
149,20,59.6
15,20,60.5
150,19.4,43.5
151,21.5,64.6
152,21.4,69.4
153,18.4,39.9
154,19.7,49.1
155,23.5,95.5
156,21.3,61.5
157,21,66.6
158,20.8,75.8
159,19.7,52.6
16,19.5,54.1
160,21.5,71.6
161,19.2,52.1
162,21.4,86.6
163,20.5,66.3
164,20.2,59.7
165,19,50.5
166,21.1,60.5
167,21.6,65.3
168,19.8,61.2
169,22.1,72
17,20.3,57.2
170,18.8,46.5
171,20.7,66.2
172,19.3,58.9
173,20.1,58.5
174,19.6,60.4
175,20.7,50.6
176,22.9,87.7
177,20.6,58.2
178,21.4,64
179,21.5,85.8
18,20,53.3
180,18.8,49
181,20,53.3
182,20.2,59.4
183,20.3,66.3
184,20.8,76.8
185,19.5,58.6
186,18.7,49.2
187,18.2,45.4
188,21.4,64.1
189,19.7,49.6
19,19.5,52.8
190,20.7,60.2
191,20.7,59.1
192,22.4,76
193,20.5,59
194,21.6,74.4
195,21.9,75.9
196,21.2,55.8
197,19.2,46.5
198,21.8,81.1
199,20.3,55
2,19.5,54.6
20,19.5,46.8
200,20.9,59.5
201,20.2,55.9
202,21.6,71.8
203,19.9,53.4
204,20.4,62.7
205,20.2,65.3
206,23,88.3
207,21.9,77.3
208,21.4,81.4
209,20.7,58.9
21,24,95
211,21.8,79.8
212,22.2,77.1
213,20.2,56.9
214,19.3,51.8
215,19.4,51.6
216,20.1,63.7
217,21.5,72.3
218,20.2,57.1
219,20.3,51.4
22,24,100.9
220,21.7,67.5
221,19.4,44.1
222,20.7,64.9
223,20.8,62.6
224,21,60.8
225,19.7,53
226,19.7,53.6
227,20.1,61.1
228,20.4,51.9
229,20.6,57.8
23,20.5,68.4
231,19.6,47.9
232,21.2,69.4
233,19.1,49
234,20.6,53.5
235,21.1,75.5
236,21.7,73.6
237,18.7,42.9
238,19.6,58.8
239,20.5,61.9
240,18.8,53.7
241,19.5,55.4
242,19.7,54.9
243,20.5,54.1
244,20.6,52.6
245,22.5,82.4
246,21.6,65.8
248,20.6,58
249,20.5,61.2
25,19,48.9
250,18.5,46.6
251,20.5,67.2
252,23,89
253,21.1,83
254,18.4,49.8
255,20.4,56.6
256,20.1,61
257,30.5,232.7
258,19.4,52.6
259,20.4,69.2
26,20,64.7
260,20.2,54.8
261,19,46
264,19.8,52.1
265,20.3,56.8
266,21.7,78
267,20.5,68.9
268,19.5,55.3
269,21.4,73.3
27,19,47.8
270,19.4,46.6
271,19.4,46.2
272,18.6,45.3
273,20.5,53.1
274,21.4,63.4
275,20.4,55.1
276,20.6,60.4
277,21.2,64.2
278,18.2,60.1
279,20.6,67.1
28,24.3,93.6
280,17.3,31.8
281,22.5,79.4
282,21.4,68.5
283,18.9,51.6
284,19.6,52.9
285,21.4,73.3
286,21.2,61.6
287,19.4,49.1
288,22.4,78.9
289,21,66.3
29,21.2,65.7
290,21.5,66.3
291,20.9,65.4
292,19.9,54.3
293,17.9,39.3
294,21.2,73.8
295,19.2,47
296,20.5,70.4
297,19.2,49.6
298,20.6,58.8
299,19.5,56
3,19.8,46.2
30,21.5,74.8
300,21.6,68.5
301,21.6,66.7
302,20.9,54.4
303,20.7,67
304,20.2,69.9
305,19.9,52.8
306,21.4,80
307,20.2,56.3
308,21.6,71.5
309,22.1,76.7
31,20.5,59.2
310,20.6,66.1
311,19.9,56.9
312,20,59.2
313,18.1,40.2
314,19.8,63
315,17.5,40.7
316,19.8,49.7
317,21,58.8
318,21.1,62.9
319,19.8,55.4
32,23.5,85.4
320,26.4,129.7
321,21.2,64.5
322,20.7,56.9
323,20.5,65.7
324,20.9,67.2
325,22.9,86.6
326,20.4,64.5
327,19.1,43.8
328,21.6,69.7
329,22.3,82.8
33,20.8,67.5
330,20.2,55
331,19.4,53.4
332,21.4,68.6
333,19.9,54
334,21.4,72.5
335,20.4,60.3
336,21.3,74.8
337,22.5,82.9
338,21.3,65.1
339,19.4,53.9
340,20.6,58.2
342,21,64.1
343,20.4,56.9
344,19.2,47.4
345,24.7,103.9
346,20.6,68
347,19.6,47.5
348,21,63.9
349,21.1,72
35,20,52.9
350,20.9,62.6
351,21,66.2
352,19.2,51.7
353,19.6,53.4
354,19.7,55.4
355,21,71.7
357,21.3,58.5
358,20.4,53.1
359,20.5,53.9
36,21.1,64.1
360,19.6,54
361,19.8,49
363,21.1,61.9
364,20.3,60.1
365,20.8,62.4
366,19.4,57.1
367,19,56.1
368,21.3,77.9
37,19.6,55.7
370,19.6,50.6
371,21.3,54.2
372,19.6,60.8
373,21.4,72.7
374,18.4,52
375,19.8,52.5
376,20.9,64.2
377,21.8,67.1
378,20.8,71.9
379,22.8,76.4
38,20.4,56.8
380,21.2,63.9
381,20.4,60.8
382,20.4,53.5
383,21.9,73.5
385,22.6,86.8
386,20.5,60
387,18.8,49.2
388,23.4,75.1
389,20.8,71.7
39,18.9,45.6
390,20.1,51.4
391,20,65.3
392,20.4,56.8
393,19.6,55.7
394,19.9,61.6
395,19.6,47.1
396,20.4,51.4
397,20.9,73.5
398,19.7,58.8
399,21.1,63.3
4,20,59.8
40,24.5,98.5
400,22.7,94.8
401,19.3,58.5
402,19.5,51.5
403,21.2,66.6
404,20.2,51.8
405,21.6,86.8
406,18.6,48.4
407,20.1,57.7
408,20,58.7
409,20.2,64.4
41,20.5,67.3
410,22.6,95
411,20.7,64.7
412,20.4,58.3
413,20.9,65.4
414,19.3,50.7
415,19.4,51.1
416,19.3,53.9
417,19,52.7
418,19.9,56.5
419,19.1,53.3
42,21,73.3
420,19.5,48.1
421,19.9,58.3
422,19.5,59.3
423,24.7,107.8
424,21.1,61.6
425,20.2,55.8
426,19.9,59.5
427,20.5,58.9
428,20.4,57.2
429,24.9,100.8
430,21.4,71.8
431,18.4,46.1
432,20.2,59.7
433,20,64
434,22.1,67.2
435,20.9,55.9
436,19.9,54.3
437,21.4,80.3
438,19.9,51.9
439,18.9,52.2
44,19.9,57.5
440,20.5,58.4
441,19.9,59.4
442,21.4,59.3
443,20.2,54.6
444,17.7,34.3
445,20.4,62
446,21.1,69.8
447,21.3,77.6
448,19.1,51.2
449,21.7,68.4
45,20,58.3
450,21.5,84.7
451,21.3,68.9
452,21.9,71.2
453,19.1,52.4
454,24.9,114
455,20.2,61
456,21.2,72.4
457,24.2,97
46,20.9,70
47,19,46.4
48,20.5,51.6
49,20.3,54.6
5,27.8,148
50,21.5,58.7
51,20,54.8
52,21,57.4
54,22.9,72.1
55,23.9,101.4
56,19.8,55.8
57,19.6,57.1
58,22,70.3
59,20.4,56.8
6,20.5,68.8
60,17.6,36.1
61,20.6,62.2
62,20.5,56.4
63,21.3,73.3
64,19.2,52
65,21,73
66,21.6,57.4
67,21.4,70.1
68,20.5,64
69,21,64.7
7,21.8,82.3
70,21.1,62.4
71,20.5,66
72,19.4,53.4
73,25.4,120.5
74,23.5,79.8
75,20.4,54.8
76,21,65.2
77,19.4,57.5
78,20.1,49.7
79,21,60.5
8,22.8,72.9
80,20.9,50.9
81,20.8,58.5
82,19.8,52.7
83,20.8,63.1
84,19.9,41
85,20.3,62.4
87,20.2,58.5
88,19.5,47.8
89,21.4,66.5
90,20.4,54.8
91,20.9,57.6
92,20.1,63
93,19.2,51
94,19.9,59.4
95,20,59.6
96,21.4,70.1
97,22,74.2
98,21.7,73.3
99,20.2,60.4
501,20,41.8
502,19,50
503,23.5,85
504,21.5,67.6
505,21.6,64.6
506,20.8,70.9
507,23,97.5
508,22.5,77.5
509,20,61.2
510,19,47.6
511,26.6,120.7
512,21.3,58.9
513,20.8,60.2
514,20.1,58.5
515,24.1,103.5
516,21,68.6
517,19.3,55.5
518,20,55.5
519,22.2,77.9
520,19.5,48.9
521,22.5,77.2
522,21.5,76.5
523,20,53.5
524,20.5,58.3
525,21.6,76.6
526,19.6,48.4
527,20.6,56.8
528,27.1,148.8
529,20.3,57.6
530,20.1,54.4
531,22.4,73.2
532,19.4,51.4
533,21,57
534,20.1,54.1
535,21.1,61.8
536,25.5,102.3
537,21.3,63.3
538,21.4,68.8
539,22,77.4
540,21.8,83.2
541,20.5,66
542,19.8,51
543,21,64.7
544,21.5,69.3
545,19.6,48.4
546,20.6,59.2
547,20.9,57
548,21.6,76.8
549,21.5,63.2
550,22.9,86.9
551,19.9,48.1
552,19.3,46.1
553,21.8,74.2
554,21,59
555,21.2,60.1
556,21.4,70.1
557,20,62.3
558,19.9,52.1
559,20,53.4
560,19.3,52.6
561,22.9,77.4
562,21.9,70.3
563,20.6,60.1
564,24.2,108.1
565,20.7,63.5
566,19.8,51.4
567,19.1,49.2
568,20.9,61.4
569,20.5,55.9
570,21.4,58.4
571,20.8,62.6
572,21.5,70.8
573,20.9,67.2
574,24.3,95
575,21,68.8
576,19.9,55
577,20,56.5
578,19.8,55.8
579,22.2,68.4
580,21.7,59.8
581,21.4,60.2
582,20.4,57.8
583,19.8,55.7
584,19.9,60
585,30.5,188.9
586,26.1,132
587,25.3,113.9
588,20,54.1
589,20.2,59.5
590,20,66.8
591,21.6,58.4
592,18.6,43.8
593,25.2,105.5
594,18.9,47.2
595,20,54.3
596,22.2,70.5
597,20.8,65.4
598,21.1,73.9
599,18.9,52.2
600,21.3,71.3
601,21.4,73.3
602,22,74.4
603,21.7,72.1
604,19.6,60.6
605,20.2,60.5
606,21.1,61.3
607,19.5,53.1
608,19.9,61.1
609,23.9,97.8
610,19.9,61.7
611,21.8,66.9
612,19.9,50.8
613,19.8,50.6
614,18.4,42.6
615,23.6,86.8
616,18.6,43.8
617,21.8,63.9
618,19.8,46.7
619,22.7,88.9
620,19.5,56.1
621,19.1,59
622,19.8,50.6
623,23.7,80.4
624,19.9,51.4
625,21.6,63.5
626,23.2,102.5
627,20.3,66.7
628,24.1,98.9
629,24.6,101.2
630,22.9,85.5
631,21.4,68.3
632,19.6,58
633,19.3,54.7
634,21.3,66.4
636,20.8,67.6
637,21.2,61.8
638,21.8,71.4
639,24.6,97.8
640,19.7,55.7
641,22.7,82.7
642,21.4,69.7
643,19.7,52.6
644,19.6,50.5
645,19.1,54.4
646,21.4,73.3
647,20.7,71.3
648,22.1,69.8
649,21.9,73.7
650,20.1,61.8
651,21.9,78.6
652,21.2,64.3
653,24.6,106.9
654,24,88.8
655,20.9,58.9
656,21,65.7
657,21.5,69.5
658,21.1,66.2
659,19.9,55.2
660,19.3,49.8
661,21.9,70.3
662,21,68.9
663,23.6,86.1
664,20.1,65.3
665,20.7,64.6
666,25.4,113.1
667,18,47.7
669,24.3,82.5
670,19.7,55.2
671,21.3,68.4
672,20.8,70.6
673,20.3,56.5
674,20,52.2
675,19.7,53.6
676,20.3,57
677,21,71.1
678,20,57.6
679,19,51.6
680,21.7,73.8
681,20.4,60.2
682,22.2,83.3
683,21,61.7
684,21.5,85.4
685,20,59.4
686,20.2,47.1
687,21.5,68.3
688,20.7,69.3
689,19.9,56.3
690,22.8,78.4
691,20.8,65.4
692,20.4,72.7
693,21.9,76
694,19.5,50.5
695,18.2,38.6
696,22.5,88.3
697,19.6,53.4
698,20.5,55.3
699,20.4,64.1
700,21.6,79.1
701,20.6,66.2
702,22,71.6
703,20,55
704,19.4,51.6
705,19.1,43.6
706,20.6,54.7
707,20.5,60.7
708,16.9,31
709,21.3,66.4
710,18.9,55.2
711,20.6,64.1
712,19.8,50.2
713,21.1,69.9
714,21.6,67.5
715,19,53.9
716,21.2,71.9
717,20.7,57.5
718,21.5,63.8
719,21.2,66.2
720,20.4,54.9
721,21.6,68
722,24.9,108.5
723,19.6,60.5
724,19.9,65.1
725,20.9,59.7
726,20.9,64.8
727,21.1,61.3
728,21,65.4
729,20.2,58.9
730,29.5,102.6
731,20.3,56.3
732,20.8,62.1
733,19.8,54.5
734,23.6,99.2
735,21.9,77.6
736,21.2,59
737,18.8,48.2
738,20.2,66.4
739,20.5,60.1
741,21.4,57.7
742,20.6,62.6
743,20.8,64.7
744,20.7,51.4
745,20.6,64.2
746,20.6,64.5
747,20.2,60
748,21.3,64.4
749,21.4,66.5
750,20,59
751,22.2,71.1
752,20.7,56.4
753,20.6,64.8
754,21.9,73.7
755,20.3,65
756,20.5,69
757,20.3,59.4
758,21.2,74.8
759,20.6,59.1
760,20.9,71.9
761,21.2,61.8
762,20,53.5
763,20.8,64.1
764,23.7,89.1
765,19.6,51.3
766,19.9,57.2
767,20.6,56.7
768,19.6,54.5
769,22.6,76.8
770,21.4,74.9
771,21.4,66
772,23.4,87
773,18.8,50
774,20.4,53.1
775,21.2,71.2
776,19.5,56.8
777,21.5,73.1
778,21.7,65.2
779,20,47.8
780,20,52.1
781,19.8,55.5
782,20.6,63
783,22.6,80.6
784,21.6,75.1
785,23.5,82.1
786,20,43.9
787,20.7,63.4
788,21.1,72.5
789,19.6,52.8
790,22.9,73
791,21.7,61.6
792,21.2,57.3
793,21.5,60.7
794,19.9,56
795,20.2,57.9
796,21.9,72.9
797,22,81.8
798,20,52.4
799,22.5,85.2
800,19.7,47.3
801,18.2,50.9
802,19,48.4
803,21,61.7
804,21.6,66.8
805,22.5,79.1
806,20,55
807,19.9,52.7
808,18.9,45.4
809,19.6,54.7
810,19,46.5
811,21.2,68.7
812,21.1,54
813,19.4,49.6
814,20.6,54.2
815,21,62.8
816,20.1,65.1
817,19.9,50.7
818,18.4,38.2
819,19.8,59.8
820,21.4,63.1
821,18.3,41.7
822,20.6,67.6
823,22.6,81.3
824,18.8,42
825,20.6,59
826,21.1,59.7
827,15.7,27.4
828,19.8,43.4
829,20.2,57.5
830,20.1,60.1
831,19.7,51.4
832,21.8,61.9
833,20,61.6
834,20.9,60.7
835,19.6,53
836,22.2,84.3
837,19.1,44.6
838,21.1,65.3
839,20.4,50.1
840,20.5,58.9
841,21.5,74.2
842,20.1,51.5
843,19.7,57.7
844,20.4,61.3
845,19.9,64.9
846,20.5,65.5
847,20.6,70.7
848,18.8,45.7
849,19.5,54.2
850,21.5,72.7
851,22.1,75.1
852,20.1,64.7
853,18.9,43.4
854,19.9,51.4
855,22.5,65.1
856,19.9,51.9
857,19.7,48.1
858,21.4,68.1
859,20.7,71.1
860,21.7,73.5
861,21.1,67.3
862,20.3,65.5
863,19.5,50.9
864,19,51.1
865,21,62.1
866,19,49
867,20.7,66.4
868,19.7,50.3
869,17.6,32
870,23.4,89.5
871,21.4,57.4
872,21.7,69.1
874,20.4,62.3
875,19.3,47.7
876,22.3,78.4
877,23.2,87.9
878,23.5,91.4
879,23.2,107.6
880,23.4,72.9
881,21,63.1
882,20.2,54.8
883,20.9,66.6
884,20.6,66.4
885,18.2,41.3
886,22.2,78.9
887,20.9,65.7
888,18.9,58.6
889,21.7,81.7
890,23.4,81
892,19.9,62.1
893,22,67.8
894,23.8,99.2
895,20.5,59.8
896,23.8,63.7
897,21.3,63.6
898,19.5,56.7
899,20,52.3
900,16.8,32.1
901,20.3,62.3
902,22.7,80.3
903,18.3,51
904,20.1,54.6
905,20.7,65.9
906,17.7,41.5
907,20.6,68.7
908,20.6,54.3
909,20.1,70
910,20.6,70.7
911,19.2,52.7
912,20.7,67.6
913,20.1,53.8
914,20.1,55.6
915,19.3,41
916,19.3,59.2
917,19.6,57.1
918,20.7,70.4
919,20,58.4
920,20.5,59.5
921,20.8,65.2
922,20.5,62
923,21.5,72.4
924,21.1,68.4
925,20.6,56.5
926,23.5,94
927,19.3,48.6
928,19.5,56
929,19.9,61.3
930,20,54.2
931,19.6,49.9
932,18.7,48
933,19.7,54.3
934,22.4,75.5
935,20.9,60.5
936,22.3,91.8
937,19.3,50.1
938,19.4,54.8
939,19.9,51.1
940,19.9,52.5
941,23.4,98.3
942,20.7,55.3
943,21.8,78.2
944,21.7,71.9
945,20.5,62
946,19.2,45.5
948,21.2,69.9
949,22.6,81.4
950,19.9,55.3
952,20.6,71.3
953,18,46.6
954,19.9,55.1
955,20.2,65.1
956,18.4,51.7
957,21.8,84
958,19.4,55.9
959,22.5,73.9
960,18.6,51.4
961,18.9,54.2
962,18.8,42.9
963,20.5,54.3
964,20.5,65.7
965,20.4,54.6
966,20.5,101.6
968,20,56
969,20.5,63.7
970,20.6,57.4
971,22.2,76.8
972,19.9,61.5
973,20.8,70.7
974,21.1,75.7
975,19.6,55.2
976,19.7,52.5
977,19.6,58.4
978,20.5,59.2
979,19.4,53.5
980,21.3,77.2
981,20.6,70.9
982,20.6,65.9
983,19.4,51.4
984,21.6,71.4
985,15.3,22.3
986,21.5,62.5
987,19.9,57.8
103,21.5,67.8
24,23.3,87.1
53,20,52.8
